KEGG	line_number	Cluster	dendro_order	pathway
K01912	622	3	123	K01912: phenylacetate-CoA ligase [EC:6.2.1.30]
K11181	2063	3	124	K11181: sulfite reductase beta subunit [EC:1.8.99.3 1.8.99.5]
K11180	2062	3	125	K11180: sulfite reductase alpha subunit [EC:1.8.99.3 1.8.99.5]
K00184	71	3	126	K00184: molybdopterin oxidoreductase, iron-sulfur binding subunit
K01953	647	3	127	K01953: asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
K07722	1820	3	128	K07722: CopG family transcriptional regulator, nickel-responsive regulator
K10206	2010	3	129	K10206: LL-diaminopimelate aminotransferase [EC:2.6.1.83]
K03389	1133	3	130	K03389: heterodisulfide reductase subunit B [EC:1.8.98.1]
K04652	1418	3	131	K04652: hydrogenase nickel incorporation protein HypB
K00179	69	3	132	K00179: indolepyruvate ferredoxin oxidoreductase, alpha subunit
K15635	2211	3	133	K15635: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
K01480	442	3	134	K01480: agmatinase [EC:3.5.3.11]
K00812	253	3	135	K00812: aspartate aminotransferase [EC:2.6.1.1]
K07071	1674	3	136	K07071: NO_NAME
K05939	1520	3	137	K05939: acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]
K05776	1488	3	138	K05776: molybdate transport system ATP-binding protein
K16915	2257	3	139	K16915: nickel transport protein
K11473	2073	3	140	K11473: glycolate oxidase iron-sulfur subunit
K08307	1858	3	141	K08307: membrane-bound lytic murein transglycosylase D
K02667	916	3	142	K02667: two-component system, NtrC family, response regulator PilR
K03455	1156	3	143	K03455: monovalent cation:H+ antiporter-2, CPA2 family
K09007	1891	3	144	K09007: GTP cyclohydrolase I [EC:3.5.4.16]
K01613	486	3	145	K01613: phosphatidylserine decarboxylase [EC:4.1.1.65]
K01163	377	3	146	K01163: hypothetical protein
K06890	1593	3	147	K06890: NO_NAME
K01585	473	3	148	K01585: arginine decarboxylase [EC:4.1.1.19]
K09949	1983	3	149	K09949: hypothetical protein
K03833	1357	3	150	K03833: selenocysteine-specific elongation factor
K09778	1944	3	151	K09778: hypothetical protein
K02304	788	3	152	K02304: precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]
K06206	1564	3	153	K06206: sugar fermentation stimulation protein A
K03273	1097	3	154	K03273: D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]
K00185	72	3	155	K00185: molybdopterin oxidoreductase, membrane subunit
K05396	1458	3	156	K05396: D-cysteine desulfhydrase [EC:4.4.1.15]
K03698	1291	3	157	K03698: CMP-binding protein
K07457	1773	3	158	K07457: endonuclease III related protein
K04655	1421	3	159	K04655: hydrogenase expression/formation protein HypE
K16011	2224	3	160	K16011: mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]
K08679	1871	3	161	K08679: UDP-glucuronate 4-epimerase [EC:5.1.3.6]
K21395	2410	3	162	K21395: NO_NAME
K12506	2116	3	163	K12506: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]
K07138	1706	3	164	K07138: NO_NAME
K00290	98	3	165	K00290: saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]
K11782	2096	3	166	K11782: chorismate dehydratase [EC:4.2.1.151]
K07814	1837	3	167	K07814: putative two-component system response regulator
K13598	2142	3	168	K13598: two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]
K00958	316	3	169	K00958: sulfate adenylyltransferase [EC:2.7.7.4]
K21393	2408	3	170	K21393: NO_NAME
K04656	1422	3	171	K04656: hydrogenase maturation protein HypF
K03390	1134	3	172	K03390: heterodisulfide reductase subunit C [EC:1.8.98.1]
K00394	140	3	173	K00394: adenylylsulfate reductase, subunit A [EC:1.8.99.2]
K00395	141	3	174	K00395: adenylylsulfate reductase, subunit B [EC:1.8.99.2]
K06940	1617	3	175	K06940: NO_NAME
K03408	1140	3	176	K03408: purine-binding chemotaxis protein CheW
K04653	1419	3	177	K04653: hydrogenase expression/formation protein HypC
K01042	349	3	178	K01042: L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]
K13747	2153	3	179	K13747: carboxynorspermidine decarboxylase [EC:4.1.1.96]
K11784	2098	3	180	K11784: cyclic dehypoxanthinyl futalosine synthase [EC:1.21.98.1]
K22205	2439	3	181	K22205: NO_NAME
K13599	2143	3	182	K13599: two-component system, NtrC family, nitrogen regulation response regulator NtrX
K00113	47	3	183	K00113: glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]
K16886	2251	3	184	K16886: NO_NAME
K07663	1811	3	185	K07663: two-component system, OmpR family, catabolic regulation response regulator CreB
K21394	2409	3	186	K21394: NO_NAME
K07576	1800	3	187	K07576: metallo-beta-lactamase family protein
K06281	1572	3	188	K06281: hydrogenase large subunit [EC:1.12.99.6]
K03851	1360	3	189	K03851: taurine-pyruvate aminotransferase [EC:2.6.1.77]
K16885	2250	3	190	K16885: NO_NAME
K18285	2298	3	191	K18285: aminodeoxyfutalosine synthase [EC:2.5.1.120]
K03465	1157	3	192	K03465: thymidylate synthase (FAD) [EC:2.1.1.148]
K09141	1905	3	193	K09141: hypothetical protein
K11783	2097	3	194	K11783: futalosine hydrolase [EC:3.2.2.26]
K00112	46	3	195	K00112: glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K11785	2099	3	196	K11785: 1,4-dihydroxy-6-naphthoate synthase [EC:1.14.-.-]
K09978	1990	3	197	K09978: hypothetical protein
K09777	1943	3	198	K09777: hypothetical protein
K04651	1417	3	199	K04651: hydrogenase nickel incorporation protein HypA
K11261	2068	3	200	K11261: formylmethanofuran dehydrogenase subunit E [EC:1.2.99.5]
K06603	1579	3	201	K06603: flagellar protein FlaG
K02420	832	3	202	K02420: flagellar biosynthetic protein FliQ
K02392	817	3	203	K02392: flagellar basal-body rod protein FlgG
K02556	886	3	204	K02556: chemotaxis protein MotA
K02446	845	3	205	K02446: fructose-1,6-bisphosphatase II [EC:3.1.3.11]
K02393	818	3	206	K02393: flagellar L-ring protein precursor FlgH
K03669	1278	3	207	K03669: membrane glycosyltransferase
K13626	2144	3	208	K13626: NO_NAME
K02412	828	3	209	K02412: flagellum-specific ATP synthase [EC:3.6.3.14]
K02394	819	3	210	K02394: flagellar P-ring protein precursor FlgI
K02422	834	3	211	K02422: flagellar protein FliS
K03563	1208	3	212	K03563: carbon storage regulator
K02415	829	3	213	K02415: flagellar FliL protein
K02389	815	3	214	K02389: flagellar basal-body rod modification protein FlgD
K02421	833	3	215	K02421: flagellar biosynthetic protein FliR
K02397	821	3	216	K02397: flagellar hook-associated protein 3 FlgL
K02396	820	3	217	K02396: flagellar hook-associated protein 1 FlgK
K13954	2168	3	218	K13954: alcohol dehydrogenase [EC:1.1.1.1]
K07223	1726	3	219	K07223: putative iron-dependent peroxidase
K02406	824	3	220	K02406: flagellin
K03406	1139	3	221	K03406: methyl-accepting chemotaxis protein
K07571	1798	3	222	K07571: S1 RNA binding domain protein
K00575	173	3	223	K00575: chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
K03415	1144	3	224	K03415: two-component system, chemotaxis family, response regulator CheV
K12942	2124	3	225	K12942: NO_NAME
K21576	2426	3	226	K21576: NO_NAME
K07080	1679	3	227	K07080: NO_NAME
K03307	1110	3	228	K03307: solute:Na+ symporter, SSS family
K06903	1601	3	229	K06903: NO_NAME
K06906	1604	3	230	K06906: NO_NAME
K06908	1605	3	231	K06908: NO_NAME
K06905	1603	3	232	K06905: NO_NAME
K15778	2217	3	233	K15778: phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
K14392	2180	3	234	K14392: NO_NAME
K02385	813	3	235	K02385: flagellar protein FlbD
K01295	413	3	236	K01295: glutamate carboxypeptidase
K06934	1615	3	237	K06934: NO_NAME
K04061	1384	3	238	K04061: flagellar biosynthesis protein
K07506	1791	3	239	K07506: AraC family transcriptional regulator
K09931	1978	3	240	K09931: hypothetical protein
K21028	2403	3	241	K21028: NO_NAME
K02124	756	3	242	K02124: V/A-type H+/Na+-transporting ATPase subunit K
K10671	2028	3	243	K10671: sarcosine reductase
K02388	814	3	244	K02388: flagellar basal-body rod protein FlgC
K19115	2326	3	245	K19115: NO_NAME
K19116	2327	3	246	K19116: NO_NAME
K19142	2341	3	247	K19142: NO_NAME
K19076	2324	3	248	K19076: NO_NAME
K09000	1887	3	249	K09000: hypothetical protein
K19141	2340	3	250	K19141: NO_NAME
K16962	2265	3	251	K16962: putative amino-acid transport system permease protein
K16963	2266	3	252	K16963: putative amino-acid transport system ATP-binding protein [EC:3.6.3.-]
K16961	2264	3	253	K16961: putative amino-acid transport system substrate-binding protein
K18842	2309	3	254	K18842: NO_NAME
K02193	765	3	255	K02193: heme exporter protein A [EC:3.6.3.41]
K09764	1934	3	256	K09764: hypothetical protein
K02419	831	3	257	K02419: flagellar biosynthetic protein FliP
K03412	1142	3	258	K03412: two-component system, chemotaxis family, response regulator CheB [EC:3.1.1.61]
K02400	823	3	259	K02400: flagellar biosynthesis protein FlhA
K02410	826	3	260	K02410: flagellar motor switch protein FliG
K02390	816	3	261	K02390: flagellar hook protein FlgE
K04562	1413	3	262	K04562: flagellar biosynthesis protein FlhG
K00534	160	3	263	K00534: ferredoxin hydrogenase small subunit
K07121	1699	3	264	K07121: NO_NAME
K05520	1461	3	265	K05520: protease I
K03670	1279	3	266	K03670: periplasmic glucans biosynthesis protein
K07023	1652	3	267	K07023: putative hydrolases of HD superfamily
K03409	1141	3	268	K03409: chemotaxis protein CheX
K02416	830	3	269	K02416: flagellar motor switch protein FliM
K02398	822	3	270	K02398: negative regulator of flagellin synthesis FlgM
K02408	825	3	271	K02408: flagellar hook-basal body complex protein FliE
K14088	2173	3	272	K14088: NO_NAME
K07096	1688	3	273	K07096: NO_NAME
K20529	2394	3	274	K20529: type IV secretion system protein TrbD
K20528	2393	3	275	K20528: type IV secretion system protein TrbC
K20533	2398	3	276	K20533: type IV secretion system protein TrbI
K20532	2397	3	277	K20532: type IV secretion system protein TrbG
K20531	2396	3	278	K20531: type IV secretion system protein TrbF
K20530	2395	3	279	K20530: type IV secretion system protein TrbE
K20527	2392	3	280	K20527: type IV secretion system protein TrbB
K07344	1754	3	281	K07344: type IV secretion system protein TrbL
K00123	48	3	282	K00123: formate dehydrogenase major subunit [EC:1.2.1.2]
K11179	2061	3	283	K11179: tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-]
K06871	1585	3	284	K06871: NO_NAME
K06859	1581	3	285	K06859: glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]
K00984	332	3	286	K00984: streptomycin 3""-adenylyltransferase
K06971	1629	3	287	K06971: NO_NAME
K08094	1843	3	288	K08094: 6-phospho-3-hexuloisomerase [EC:5.3.1.27]
K07720	1819	3	289	K07720: two-component system, response regulator YesN
K09684	1917	3	290	K09684: purine catabolism regulatory protein
K03519	1178	3	291	K03519: carbon-monoxide dehydrogenase medium subunit [EC:1.2.7.4]
K09065	1897	3	292	K09065: N-acetylornithine carbamoyltransferase [EC:2.1.3.9]
K02647	900	3	293	K02647: carbohydrate diacid regulator
K02052	716	3	294	K02052: putative spermidine/putrescine transport system ATP-binding protein
K01026	346	3	295	K01026: propionate CoA-transferase [EC:2.8.3.1]
K06981	1636	3	296	K06981: isopentenyl phosphate kinase [EC:2.7.4.26]
K05979	1523	3	297	K05979: 2-phosphosulfolactate phosphatase [EC:3.1.3.71]
K06726	1580	3	298	K06726: D-ribose pyranase [EC:5.4.99.62]
K09988	1991	3	299	K09988: hypothetical protein
K13479	2136	3	300	K13479: xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]
K00087	34	3	301	K00087: xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00329	104	3	302	K00329: NADH dehydrogenase [EC:1.6.5.3]
K00356	127	3	303	K00356: NADH dehydrogenase [EC:1.6.99.3]
K17203	2272	3	304	K17203: erythritol transport system permease protein
K10547	2024	3	305	K10547: putative multiple sugar transport system permease protein
K10546	2023	3	306	K10546: putative multiple sugar transport system substrate-binding protein
K18910	2312	3	307	K18910: NO_NAME
K10234	2014	3	308	K10234: alpha-glucoside transport system permease protein
K13015	2129	3	309	K13015: UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]
K10548	2025	3	310	K10548: putative multiple sugar transport system ATP-binding protein [EC:3.6.3.17]
K00918	291	3	311	K00918: ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]
K19701	2370	3	312	K19701: NO_NAME
K17202	2271	3	313	K17202: erythritol transport system substrate-binding protein
K04835	1445	3	314	K04835: methylaspartate ammonia-lyase [EC:4.3.1.2]
K07477	1782	3	315	K07477: translin
K05350	1452	3	316	K05350: beta-glucosidase [EC:3.2.1.21]
K18331	2299	3	317	K18331: NO_NAME
K12454	2114	3	318	K12454: CDP-paratose 2-epimerase [EC:5.1.3.10]
K17318	2279	3	319	K17318: putative aldouronate transport system substrate-binding protein
K03429	1149	3	320	K03429: processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.315]
K07668	1812	3	321	K07668: two-component system, OmpR family, response regulator VicR
K00662	207	3	322	K00662: aminoglycoside N3'-acetyltransferase
K01179	379	3	323	K01179: endoglucanase [EC:3.2.1.4]
K07037	1660	3	324	K07037: NO_NAME
K01273	409	3	325	K01273: membrane dipeptidase
K00065	28	3	326	K00065: 2-deoxy-D-gluconate 3-dehydrogenase [EC:1.1.1.125]
K10212	2011	3	327	K10212: glycosyl-4,4'-diaponeurosporenoate acyltransferase [EC:2.3.1.-]
K20276	2382	3	328	K20276: large repetitive protein
K05343	1450	3	329	K05343: maltose alpha-D-glucosyltransferase/ alpha-amylase [EC:5.4.99.16 3.2.1.1]
K18845	2310	3	330	K18845: NO_NAME
K17204	2273	3	331	K17204: erythritol transport system ATP-binding protein
K10027	2000	3	332	K10027: phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]
K10233	2013	3	333	K10233: alpha-glucoside transport system permease protein
K18912	2313	3	334	K18912: gamma-glutamyl hercynylcysteine S-oxide synthase [EC:1.14.99.50]
K13810	2157	3	335	K13810: transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
K02336	795	3	336	K02336: DNA polymerase II
K00100	40	3	337	K00100: butanol dehydrogenase [EC:1.1.1.-]
K01804	571	3	338	K01804: L-arabinose isomerase [EC:5.3.1.4]
K01208	388	3	339	K01208: cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase [EC:3.2.1.54 3.2.1.133 3.2.1.135]
K20742	2400	3	340	K20742: NO_NAME
K09705	1925	3	341	K09705: hypothetical protein
K19225	2348	3	342	K19225: NO_NAME
K02588	894	3	343	K02588: nitrogenase iron protein NifH [EC:1.18.6.1]
K07141	1707	3	344	K07141: NO_NAME
K00048	20	3	345	K00048: lactaldehyde reductase [EC:1.1.1.77]
K02805	947	3	346	K02805: lipopolysaccharide biosynthesis protein
K07642	1806	3	347	K07642: two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]
K09819	1966	3	348	K09819: manganese/iron transport system permease protein
K17836	2290	3	349	K17836: beta-lactamase class A [EC:3.5.2.6]
K02057	721	3	350	K02057: simple sugar transport system permease protein
K02056	720	3	351	K02056: simple sugar transport system ATP-binding protein
K01101	361	3	352	K01101: 4-nitrophenyl phosphatase [EC:3.1.3.41]
K01483	444	3	353	K01483: ureidoglycolate lyase [EC:4.3.2.3]
K03793	1342	3	354	K03793: pteridine reductase
K07502	1789	3	355	K07502: hypothetical protein
K18475	2300	3	356	K18475: NO_NAME
K16203	2233	3	357	K16203: NO_NAME
K00091	36	3	358	K00091: dihydroflavonol-4-reductase
K06928	1613	3	359	K06928: nucleoside-triphosphatase [EC:3.6.1.15]
K02315	792	3	360	K02315: DNA replication protein DnaC
K03518	1177	3	361	K03518: carbon-monoxide dehydrogenase small subunit [EC:1.2.7.4]
K17213	2274	3	362	K17213: inositol transport system substrate-binding protein
K17215	2276	3	363	K17215: inositol transport system ATP-binding protein
K17319	2280	3	364	K17319: putative aldouronate transport system permease protein
K10202	2009	3	365	K10202: N-acetylglucosamine transport system permease protein
K00757	222	3	366	K00757: uridine phosphorylase [EC:2.4.2.3]
K00150	58	3	367	K00150: glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K01641	499	3	368	K01641: hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]
K07068	1673	3	369	K07068: NO_NAME
K01895	617	3	370	K01895: acetyl-CoA synthetase [EC:6.2.1.1]
K01905	621	3	371	K01905: acetyl-CoA synthetase (ADP-forming) [EC:6.2.1.13]
K22224	2441	3	372	K22224: NO_NAME
K11392	2072	3	373	K11392: ribosomal RNA small subunit methyltransferase F
K07257	1733	3	374	K07257: spore coat polysaccharide biosynthesis protein SpsF
K11529	2074	3	375	K11529: glycerate 2-kinase [EC:2.7.1.165]
K02377	812	3	376	K02377: GDP-L-fucose synthase [EC:1.1.1.271]
K01678	515	3	377	K01678: fumarate hydratase subunit beta [EC:4.2.1.2]
K01677	514	3	378	K01677: fumarate hydratase subunit alpha [EC:4.2.1.2]
K00177	68	3	379	K00177: 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
K07150	1709	3	380	K07150: NO_NAME
K04072	1389	3	381	K04072: acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]
K11645	2079	3	382	K11645: fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
K00282	94	3	383	K00282: glycine dehydrogenase subunit 1 [EC:1.4.4.2]
K00283	95	3	384	K00283: glycine dehydrogenase subunit 2 [EC:1.4.4.2]
K00176	67	3	385	K00176: 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
K19510	2364	3	386	K19510: NO_NAME
K10710	2030	3	387	K10710: fructoselysine 6-kinase
K00853	268	3	388	K00853: L-ribulokinase [EC:2.7.1.16]
K01624	491	3	389	K01624: fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
K01998	667	3	390	K01998: branched-chain amino acid transport system permease protein
K01997	666	3	391	K01997: branched-chain amino acid transport system permease protein
K01999	668	3	392	K01999: branched-chain amino acid transport system substrate-binding protein
K02005	674	3	393	K02005: HlyD family secretion protein
K03710	1302	3	394	K03710: GntR family transcriptional regulator
K01206	386	3	395	K01206: alpha-L-fucosidase [EC:3.2.1.51]
K10716	2031	3	396	K10716: voltage-gated potassium channel
K02038	703	3	397	K02038: phosphate transport system permease protein
K03564	1209	3	398	K03564: peroxiredoxin Q/BCP
K02217	770	3	399	K02217: ferritin 1
K09125	1901	3	400	K09125: hypothetical protein
K03077	1047	3	401	K03077: L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]
K03292	1103	3	402	K03292: glycoside/pentoside/hexuronide:cation symporter, GPH family
K01222	391	3	403	K01222: 6-phospho-beta-glucosidase [EC:3.2.1.86]
K16209	2234	3	404	K16209: NO_NAME
K06877	1587	3	405	K06877: NO_NAME
K03337	1125	3	406	K03337: 5-deoxy-glucuronate isomerase [EC:5.3.1.30]
K03336	1124	3	407	K03336: 3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]
K00010	4	3	408	K00010: myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K01151	371	3	409	K01151: deoxyribonuclease IV [EC:3.1.21.2]
